epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,117.501,0.60457,0.59953,0.99378,0.7378,0.66667,0.73495,0.55333,1.41572,1.45803,1.26195,2.82082e-05,2.82082e-05,2.82082e-05
40,120.505,0.68921,0.57459,1.06025,0.7378,0.66667,0.73495,0.55333,1.41572,1.45803,1.26195,2.84911e-05,2.84911e-05,2.84911e-05
41,123.592,0.61062,0.57155,0.98511,0.72379,0.66667,0.73512,0.55277,1.41986,1.48301,1.26469,2.87504e-05,2.87504e-05,2.87504e-05
42,126.598,0.58162,1.20223,1.09449,0.72379,0.66667,0.73512,0.55277,1.41986,1.48301,1.26469,2.89861e-05,2.89861e-05,2.89861e-05
43,129.707,0.71414,0.83007,1.13992,0.67111,0.66667,0.725,0.54458,1.43371,1.523,1.27514,2.91983e-05,2.91983e-05,2.91983e-05
44,132.781,0.83808,0.73848,1.25536,0.67111,0.66667,0.725,0.54458,1.43371,1.523,1.27514,2.93869e-05,2.93869e-05,2.93869e-05
45,135.865,0.54992,0.53436,0.93842,0.67109,0.66667,0.71989,0.54416,1.44191,1.5396,1.28617,2.9552e-05,2.9552e-05,2.9552e-05
46,138.973,0.6316,0.61599,1.10873,0.67109,0.66667,0.71989,0.54416,1.44191,1.5396,1.28617,2.96935e-05,2.96935e-05,2.96935e-05
47,142.016,0.78613,1.39149,1.23454,0.66389,0.66667,0.71508,0.52346,1.45737,1.53291,1.29217,2.98114e-05,2.98114e-05,2.98114e-05
48,144.99,0.691,0.95781,1.09607,0.66389,0.66667,0.71508,0.52346,1.45737,1.53291,1.29217,2.99058e-05,2.99058e-05,2.99058e-05
49,148.05,0.76647,0.71852,1.25542,0.66074,0.66667,0.71013,0.5221,1.46437,1.54262,1.29826,2.99766e-05,2.99766e-05,2.99766e-05
50,151.036,0.57428,0.58059,1.14126,0.66074,0.66667,0.71013,0.5221,1.46437,1.54262,1.29826,3.00238e-05,3.00238e-05,3.00238e-05
51,154.077,0.61074,0.48964,1.01534,0.65858,0.66667,0.70276,0.51752,1.49084,1.5985,1.31053,3.00475e-05,3.00475e-05,3.00475e-05
52,157.07,0.82152,0.71647,1.23892,0.65858,0.66667,0.70276,0.51752,1.49084,1.5985,1.31053,3.00476e-05,3.00476e-05,3.00476e-05
53,159.739,0.61506,0.54063,1.16282,0.65858,0.66667,0.70276,0.51752,1.49084,1.5985,1.31053,3.00242e-05,3.00242e-05,3.00242e-05
54,162.831,0.79295,0.65269,1.19741,0.6405,0.66667,0.69431,0.51536,1.52613,1.63228,1.33878,2.99772e-05,2.99772e-05,2.99772e-05
55,165.845,0.53133,0.55076,0.93381,0.6405,0.66667,0.69431,0.51536,1.52613,1.63228,1.33878,2.99066e-05,2.99066e-05,2.99066e-05
56,168.867,0.87078,1.04424,1.36816,0.6405,0.66667,0.69431,0.51536,1.52613,1.63228,1.33878,2.98125e-05,2.98125e-05,2.98125e-05
57,171.893,0.81505,0.99485,1.23813,0.6224,0.66667,0.69425,0.51427,1.56055,1.68896,1.36328,2.96948e-05,2.96948e-05,2.96948e-05
58,174.883,0.83874,0.9328,1.22349,0.6224,0.66667,0.69425,0.51427,1.56055,1.68896,1.36328,2.95535e-05,2.95535e-05,2.95535e-05
59,177.871,0.62757,0.61724,1.07325,0.6224,0.66667,0.69425,0.51427,1.56055,1.68896,1.36328,2.93887e-05,2.93887e-05,2.93887e-05
60,180.957,0.94599,0.71518,1.49066,0.61004,0.66667,0.69259,0.51281,1.58164,1.77658,1.3944,2.92003e-05,2.92003e-05,2.92003e-05
61,183.985,0.50045,0.51553,0.99525,0.61004,0.66667,0.69259,0.51281,1.58164,1.77658,1.3944,2.89884e-05,2.89884e-05,2.89884e-05
62,187.012,0.58112,0.60942,0.95741,0.61004,0.66667,0.69259,0.51281,1.58164,1.77658,1.3944,2.87529e-05,2.87529e-05,2.87529e-05
63,190.053,0.59298,0.59386,1.04647,0.59319,0.66667,0.69245,0.51197,1.60089,1.86801,1.40777,2.84938e-05,2.84938e-05,2.84938e-05
64,193.074,0.56374,0.54263,1.01596,0.59319,0.66667,0.69245,0.51197,1.60089,1.86801,1.40777,2.82112e-05,2.82112e-05,2.82112e-05
65,196.057,0.67757,0.67096,1.21322,0.59319,0.66667,0.69245,0.51197,1.60089,1.86801,1.40777,2.7905e-05,2.7905e-05,2.7905e-05
66,199.166,0.56693,0.56478,1.01641,0.59025,0.66667,0.69213,0.51522,1.59999,1.90737,1.41038,2.75753e-05,2.75753e-05,2.75753e-05
67,202.204,0.60168,0.83689,1.01979,0.59025,0.66667,0.69213,0.51522,1.59999,1.90737,1.41038,2.7222e-05,2.7222e-05,2.7222e-05
68,205.276,0.85231,1.13648,1.22961,0.59025,0.66667,0.69213,0.51522,1.59999,1.90737,1.41038,2.68451e-05,2.68451e-05,2.68451e-05
69,208.301,0.50092,0.59008,1.01265,0.63042,0.66667,0.69389,0.51128,1.57961,1.91329,1.38576,2.64447e-05,2.64447e-05,2.64447e-05
70,211.271,0.71088,0.49418,1.24382,0.63042,0.66667,0.69389,0.51128,1.57961,1.91329,1.38576,2.60207e-05,2.60207e-05,2.60207e-05
71,214.21,0.73442,0.7839,1.15302,0.63042,0.66667,0.69389,0.51128,1.57961,1.91329,1.38576,2.55731e-05,2.55731e-05,2.55731e-05
72,217.217,0.48905,0.4378,0.98394,0.65329,0.66667,0.69432,0.51144,1.56848,1.93547,1.37987,2.5102e-05,2.5102e-05,2.5102e-05
73,220.154,0.52923,0.58926,0.98461,0.65329,0.66667,0.69432,0.51144,1.56848,1.93547,1.37987,2.46073e-05,2.46073e-05,2.46073e-05
74,223.166,0.65823,0.46798,1.10071,0.65329,0.66667,0.69432,0.51144,1.56848,1.93547,1.37987,2.40891e-05,2.40891e-05,2.40891e-05
75,226.221,0.61049,0.43826,1.08435,0.66157,0.5,0.69388,0.47702,1.5443,1.9427,1.3631,2.35472e-05,2.35472e-05,2.35472e-05
76,229.235,0.62712,0.66416,1.09918,0.66157,0.5,0.69388,0.47702,1.5443,1.9427,1.3631,2.29819e-05,2.29819e-05,2.29819e-05
77,232.249,0.53595,0.49091,1.01394,0.66157,0.5,0.69388,0.47702,1.5443,1.9427,1.3631,2.23929e-05,2.23929e-05,2.23929e-05
78,235.363,0.68304,0.78891,1.08623,0.66324,0.5,0.6936,0.46428,1.52563,1.92939,1.35225,2.17805e-05,2.17805e-05,2.17805e-05
79,238.335,0.5746,0.60128,1.03931,0.66324,0.5,0.6936,0.46428,1.52563,1.92939,1.35225,2.11444e-05,2.11444e-05,2.11444e-05
80,241.356,0.5252,0.65419,1.04328,0.66324,0.5,0.6936,0.46428,1.52563,1.92939,1.35225,2.04848e-05,2.04848e-05,2.04848e-05
81,244.454,0.46453,0.37528,0.94367,0.66575,0.5,0.69334,0.47281,1.52853,1.97696,1.35386,1.98016e-05,1.98016e-05,1.98016e-05
82,247.418,0.70275,0.52216,1.10267,0.66575,0.5,0.69334,0.47281,1.52853,1.97696,1.35386,1.90949e-05,1.90949e-05,1.90949e-05
83,250.405,0.55751,0.60226,1.03724,0.66575,0.5,0.69334,0.47281,1.52853,1.97696,1.35386,1.83646e-05,1.83646e-05,1.83646e-05
84,253.483,0.66369,0.46967,1.1205,0.66812,0.5,0.69255,0.48456,1.53774,2.00455,1.35747,1.76107e-05,1.76107e-05,1.76107e-05
85,256.445,0.52503,0.56883,1.05433,0.66812,0.5,0.69255,0.48456,1.53774,2.00455,1.35747,1.68333e-05,1.68333e-05,1.68333e-05
86,259.483,0.58312,0.53207,1.00835,0.66812,0.5,0.69255,0.48456,1.53774,2.00455,1.35747,1.60323e-05,1.60323e-05,1.60323e-05
87,262.46,0.52437,0.57413,0.9533,0.66812,0.5,0.69255,0.48456,1.53774,2.00455,1.35747,1.52077e-05,1.52077e-05,1.52077e-05
88,265.544,0.73897,0.66918,1.34532,0.66366,0.5,0.69082,0.5181,1.5184,1.97242,1.3455,1.43596e-05,1.43596e-05,1.43596e-05
89,268.526,0.97959,0.70333,1.47421,0.66366,0.5,0.69082,0.5181,1.5184,1.97242,1.3455,1.34879e-05,1.34879e-05,1.34879e-05
90,271.538,0.49007,0.5149,0.91374,0.66366,0.5,0.69082,0.5181,1.5184,1.97242,1.3455,1.25927e-05,1.25927e-05,1.25927e-05
91,274.539,0.40256,0.34907,0.86205,0.66366,0.5,0.69082,0.5181,1.5184,1.97242,1.3455,1.16739e-05,1.16739e-05,1.16739e-05
92,277.596,0.62072,0.75463,0.92581,0.65723,0.5,0.69084,0.53786,1.50304,2.04094,1.35515,1.07315e-05,1.07315e-05,1.07315e-05
93,280.315,0.39278,0.36204,0.89457,0.65723,0.5,0.69084,0.53786,1.50304,2.04094,1.35515,9.76562e-06,9.76562e-06,9.76562e-06
94,283.344,0.46429,0.40799,0.85119,0.65723,0.5,0.69084,0.53786,1.50304,2.04094,1.35515,8.77613e-06,8.77613e-06,8.77613e-06
95,286.334,0.37095,0.3503,0.87159,0.65723,0.5,0.69084,0.53786,1.50304,2.04094,1.35515,7.76308e-06,7.76308e-06,7.76308e-06
96,289.449,0.39069,0.36882,0.94268,0.62572,0.66667,0.68971,0.52018,1.50501,2.1226,1.37361,6.72648e-06,6.72648e-06,6.72648e-06
97,292.458,0.60127,0.45357,0.98169,0.62572,0.66667,0.68971,0.52018,1.50501,2.1226,1.37361,5.6663e-06,5.6663e-06,5.6663e-06
98,295.486,0.40299,0.40129,0.86516,0.62572,0.66667,0.68971,0.52018,1.50501,2.1226,1.37361,4.58257e-06,4.58257e-06,4.58257e-06
99,298.525,0.39819,0.36194,0.87975,0.62572,0.66667,0.68971,0.52018,1.50501,2.1226,1.37361,3.47528e-06,3.47528e-06,3.47528e-06
100,301.889,0.44766,0.40612,0.89306,0.65,0.66667,0.68776,0.52054,1.46868,2.00534,1.34009,2.34442e-06,2.34442e-06,2.34442e-06
